profile_id,profile,sample_index,source_count,source_distances_m,radius_m,target_speakers,crossed_speaker_count_vs_prev,crossed_source_distances_m,target_set_unchanged_vs_prev,input_rms,input_rms_db,output_rms,output_rms_db,output_level_db_vs_input,delta_output_rms_db_vs_prev,adjacent_l1_vs_input,input_path,output_path
0,none,0,0,none,0.0,0,,,,0.0499999985,-26.020600,4.17169289e-06,-107.593751,-81.573151,,,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0m.wav
0,none,0,0,none,0.1,0,0,,true,0.0499999985,-26.020600,2.77649766e-06,-111.130051,-85.109450,-3.536299,5.19383791e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.1m.wav
0,none,0,0,none,0.2,0,0,,true,0.0499999985,-26.020600,3.99359542e-06,-107.972717,-81.952116,3.157334,4.81742396e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.2m.wav
0,none,0,0,none,0.3,0,0,,true,0.0499999985,-26.020600,4.69891681e-06,-106.560043,-80.539443,1.412673,6.01832853e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.3m.wav
0,none,0,0,none,0.4,0,0,,true,0.0499999985,-26.020600,4.43927431e-06,-107.053758,-81.033158,-0.493715,5.67337492e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.4m.wav
0,none,0,0,none,0.5,0,0,,true,0.0499999985,-26.020600,4.60347693e-06,-106.738279,-80.717679,0.315480,3.43033445e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.5m.wav
0,none,0,0,none,0.6,0,0,,true,0.0499999985,-26.020600,4.5205102e-06,-106.896249,-80.875649,-0.157970,3.14795316e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.6m.wav
0,none,0,0,none,0.7,0,0,,true,0.0499999985,-26.020600,4.63671145e-06,-106.675797,-80.655197,0.220452,3.06119464e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.7m.wav
0,none,0,0,none,0.8,0,0,,true,0.0499999985,-26.020600,4.64342575e-06,-106.663228,-80.642628,0.012569,2.9898225e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.8m.wav
0,none,0,0,none,0.9,0,0,,true,0.0499999985,-26.020600,4.64122685e-06,-106.667342,-80.646742,-0.004114,2.95990262e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q0.9m.wav
0,none,0,0,none,1.0,0,0,,true,0.0499999985,-26.020600,4.5743449e-06,-106.793420,-80.772820,-0.126078,2.92281752e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1m.wav
0,none,0,0,none,1.1,0,0,,true,0.0499999985,-26.020600,4.55728963e-06,-106.825865,-80.805265,-0.032446,2.89735826e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.1m.wav
0,none,0,0,none,1.2,0,0,,true,0.0499999985,-26.020600,4.54390487e-06,-106.851413,-80.830813,-0.025548,2.86326153e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.2m.wav
0,none,0,0,none,1.3,0,0,,true,0.0499999985,-26.020600,4.55468339e-06,-106.830834,-80.810234,0.020579,2.82806227e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.3m.wav
0,none,0,0,none,1.4,0,0,,true,0.0499999985,-26.020600,4.55930833e-06,-106.822019,-80.801419,0.008815,2.79239438e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.4m.wav
0,none,0,0,none,1.5,0,0,,true,0.0499999985,-26.020600,4.56082623e-06,-106.819128,-80.798527,0.002891,2.79409082e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.5m.wav
0,none,0,0,none,1.6,0,0,,true,0.0499999985,-26.020600,4.58644509e-06,-106.770474,-80.749874,0.048653,2.76213777e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.6m.wav
0,none,0,0,none,1.7,0,0,,true,0.0499999985,-26.020600,4.59758184e-06,-106.749409,-80.728809,0.021065,2.76511545e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.7m.wav
0,none,0,0,none,1.8,0,0,,true,0.0499999985,-26.020600,4.62313795e-06,-106.701261,-80.680661,0.048148,2.7448535e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.8m.wav
0,none,0,0,none,1.9,0,0,,true,0.0499999985,-26.020600,4.67467202e-06,-106.604975,-80.584375,0.096286,2.75908209e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q1.9m.wav
0,none,0,0,none,2.0,0,0,,true,0.0499999985,-26.020600,4.67992533e-06,-106.595220,-80.574619,0.009756,2.80431991e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2m.wav
0,none,0,0,none,2.1,0,0,,true,0.0499999985,-26.020600,4.7825217e-06,-106.406859,-80.386259,0.188360,2.78715501e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.1m.wav
0,none,0,0,none,2.2,0,0,,true,0.0499999985,-26.020600,4.91814054e-06,-106.163980,-80.143379,0.242880,2.84252369e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.2m.wav
0,none,0,0,none,2.3,0,0,,true,0.0499999985,-26.020600,5.14842455e-06,-105.766511,-79.745911,0.397468,2.87857105e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.3m.wav
0,none,0,0,none,2.4,0,0,,true,0.0499999985,-26.020600,5.49528012e-06,-105.200202,-79.179602,0.566310,2.94435208e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.4m.wav
0,none,0,0,none,2.5,0,0,,true,0.0499999985,-26.020600,5.95190215e-06,-104.506883,-78.486283,0.693319,2.97642428e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.5m.wav
0,none,0,0,none,2.6,0,0,,true,0.0499999985,-26.020600,6.48770217e-06,-103.758181,-77.737580,0.748702,2.98450377e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.6m.wav
0,none,0,0,none,2.7,0,0,,true,0.0499999985,-26.020600,7.12121621e-06,-102.948915,-76.928315,0.809265,2.99837288e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.7m.wav
0,none,0,0,none,2.8,0,0,,true,0.0499999985,-26.020600,7.7675494e-06,-102.194318,-76.173718,0.754597,2.98580912e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.8m.wav
0,none,0,0,none,2.9,0,0,,true,0.0499999985,-26.020600,8.36489744e-06,-101.550787,-75.530186,0.643532,2.94477727e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q2.9m.wav
0,none,0,0,none,3.0,0,0,,true,0.0499999985,-26.020600,8.82570427e-06,-101.085012,-75.064411,0.465775,2.8993421e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q3m.wav
0,none,0,0,none,3.1,0,0,,true,0.0499999985,-26.020600,9.15563744e-06,-100.766227,-74.745627,0.318784,2.84172606e-05,profile_00_none/mix_01_input.wav,profile_00_none/mix_01_q3.1m.wav
