sample_index,profile,source_distances_m,radius_m,target_speakers,output_rms_db,delta_output_rms_db_vs_prev
1,0,0.301680,0.0,0,-108.718630,
1,0,0.301680,0.1,0,-111.457337,-2.738707
1,0,0.301680,0.2,0,-109.774939,1.682398
1,0,0.301680,0.3,0,-62.847862,46.927077
1,0,0.301680,0.4,1,-37.082096,25.765766
1,0,0.301680,0.5,1,-36.966689,0.115406
1,0,0.301680,0.6,1,-36.926660,0.040029
1,0,0.301680,0.7,1,-36.905845,0.020815
1,0,0.301680,0.8,1,-36.896381,0.009464
1,0,0.301680,0.9,1,-36.890223,0.006158
1,0,0.301680,1.0,1,-36.885607,0.004616
1,0,0.301680,1.1,1,-36.882133,0.003474
1,0,0.301680,1.2,1,-36.879446,0.002687
1,0,0.301680,1.3,1,-36.877544,0.001901
1,0,0.301680,1.4,1,-36.875948,0.001597
1,0,0.301680,1.5,1,-36.874503,0.001445
1,0,0.301680,1.6,1,-36.873109,0.001394
1,0,0.301680,1.7,1,-36.872009,0.001100
1,0,0.301680,1.8,1,-36.871103,0.000906
1,0,0.301680,1.9,1,-36.870223,0.000880
1,0,0.301680,2.0,1,-36.869436,0.000787
1,0,0.301680,2.1,1,-36.868666,0.000769
1,0,0.301680,2.2,1,-36.868273,0.000393
1,0,0.301680,2.3,1,-36.867974,0.000299
1,0,0.301680,2.4,1,-36.867763,0.000210
1,0,0.301680,2.5,1,-36.867568,0.000195
1,0,0.301680,2.6,1,-36.867447,0.000121
1,0,0.301680,2.7,1,-36.867232,0.000215
1,0,0.301680,2.8,1,-36.867066,0.000165
1,0,0.301680,2.9,1,-36.866816,0.000251
1,0,0.301680,3.0,1,-36.866548,0.000268
1,0,0.301680,3.1,1,-36.866128,0.000420
1,0,0.301680,3.2,1,-36.865597,0.000531
1,0,0.301680,3.3,1,-36.864830,0.000768
1,0,0.301680,3.4,1,-36.863664,0.001165
1,0,0.301680,3.5,1,-36.862124,0.001540
1,0,0.301680,3.6,1,-36.861255,0.000870
1,0,0.301680,3.7,1,-36.861322,-0.000067
1,0,0.301680,3.8,1,-36.862338,-0.001016
1,0,0.301680,3.9,1,-36.864382,-0.002044
1,0,0.301680,4.0,1,-36.867302,-0.002920
8,02,0.351722;2.912354,0.0,0,-114.233392,
8,02,0.351722;2.912354,0.1,0,-117.300559,-3.067166
8,02,0.351722;2.912354,0.2,0,-115.524929,1.775630
8,02,0.351722;2.912354,0.3,0,-80.005431,35.519498
8,02,0.351722;2.912354,0.4,1,-47.844962,32.160469
8,02,0.351722;2.912354,0.5,1,-43.136357,4.708605
8,02,0.351722;2.912354,0.6,1,-38.366395,4.769962
8,02,0.351722;2.912354,0.7,1,-38.252375,0.114020
8,02,0.351722;2.912354,0.8,1,-38.214915,0.037460
8,02,0.351722;2.912354,0.9,1,-38.201001,0.013914
8,02,0.351722;2.912354,1.0,1,-38.192574,0.008427
8,02,0.351722;2.912354,1.1,1,-38.186677,0.005897
8,02,0.351722;2.912354,1.2,1,-38.183617,0.003060
8,02,0.351722;2.912354,1.3,1,-38.181451,0.002166
8,02,0.351722;2.912354,1.4,1,-38.180007,0.001444
8,02,0.351722;2.912354,1.5,1,-38.178860,0.001147
8,02,0.351722;2.912354,1.6,1,-38.172377,0.006483
8,02,0.351722;2.912354,1.7,1,-38.164252,0.008125
8,02,0.351722;2.912354,1.8,1,-38.161879,0.002373
8,02,0.351722;2.912354,1.9,1,-38.160702,0.001177
8,02,0.351722;2.912354,2.0,1,-38.159517,0.001185
8,02,0.351722;2.912354,2.1,1,-38.157975,0.001543
8,02,0.351722;2.912354,2.2,1,-38.156490,0.001484
8,02,0.351722;2.912354,2.3,1,-38.155233,0.001257
8,02,0.351722;2.912354,2.4,1,-38.153845,0.001389
8,02,0.351722;2.912354,2.5,1,-38.152883,0.000962
8,02,0.351722;2.912354,2.6,1,-38.151807,0.001076
8,02,0.351722;2.912354,2.7,1,-38.150919,0.000889
8,02,0.351722;2.912354,2.8,1,-38.150022,0.000897
8,02,0.351722;2.912354,2.9,1,-38.149089,0.000933
8,02,0.351722;2.912354,3.0,2,-38.148164,0.000925
8,02,0.351722;2.912354,3.1,2,-38.147311,0.000853
8,02,0.351722;2.912354,3.2,2,-38.146450,0.000861
8,02,0.351722;2.912354,3.3,2,-38.144650,0.001800
8,02,0.351722;2.912354,3.4,2,-38.142335,0.002315
8,02,0.351722;2.912354,3.5,2,-38.139747,0.002588
8,02,0.351722;2.912354,3.6,2,-38.136825,0.002922
8,02,0.351722;2.912354,3.7,2,-38.132853,0.003972
8,02,0.351722;2.912354,3.8,2,-38.127937,0.004916
8,02,0.351722;2.912354,3.9,2,-38.121668,0.006269
8,02,0.351722;2.912354,4.0,2,-38.115805,0.005864
12,12,1.810087;2.830389,0.0,0,-120.709940,
12,12,1.810087;2.830389,0.1,0,-123.692246,-2.982306
12,12,1.810087;2.830389,0.2,0,-122.809618,0.882627
12,12,1.810087;2.830389,0.3,0,-120.304553,2.505066
12,12,1.810087;2.830389,0.4,0,-119.214473,1.090080
12,12,1.810087;2.830389,0.5,0,-118.492610,0.721863
12,12,1.810087;2.830389,0.6,0,-118.191177,0.301433
12,12,1.810087;2.830389,0.7,0,-117.905472,0.285704
12,12,1.810087;2.830389,0.8,0,-117.468614,0.436859
12,12,1.810087;2.830389,0.9,0,-117.027509,0.441105
12,12,1.810087;2.830389,1.0,0,-116.555862,0.471646
12,12,1.810087;2.830389,1.1,0,-116.202234,0.353628
12,12,1.810087;2.830389,1.2,0,-115.837753,0.364481
12,12,1.810087;2.830389,1.3,0,-115.554981,0.282772
12,12,1.810087;2.830389,1.4,0,-115.153267,0.401715
12,12,1.810087;2.830389,1.5,0,-114.720372,0.432895
12,12,1.810087;2.830389,1.6,0,-114.073065,0.647307
12,12,1.810087;2.830389,1.7,0,-113.185985,0.887081
12,12,1.810087;2.830389,1.8,0,-112.003231,1.182754
12,12,1.810087;2.830389,1.9,1,-108.964269,3.038962
12,12,1.810087;2.830389,2.0,1,-100.660533,8.303735
12,12,1.810087;2.830389,2.1,1,-79.229700,21.430833
12,12,1.810087;2.830389,2.2,1,-70.155078,9.074622
12,12,1.810087;2.830389,2.3,1,-61.715847,8.439231
12,12,1.810087;2.830389,2.4,1,-56.933236,4.782611
12,12,1.810087;2.830389,2.5,1,-52.695481,4.237756
12,12,1.810087;2.830389,2.6,1,-50.347139,2.348342
12,12,1.810087;2.830389,2.7,1,-46.223720,4.123419
12,12,1.810087;2.830389,2.8,1,-43.536174,2.687546
12,12,1.810087;2.830389,2.9,2,-41.710653,1.825521
12,12,1.810087;2.830389,3.0,2,-41.401319,0.309334
12,12,1.810087;2.830389,3.1,2,-41.394754,0.006564
12,12,1.810087;2.830389,3.2,2,-41.378401,0.016354
12,12,1.810087;2.830389,3.3,2,-41.367520,0.010881
12,12,1.810087;2.830389,3.4,2,-41.368554,-0.001034
12,12,1.810087;2.830389,3.5,2,-41.364820,0.003734
12,12,1.810087;2.830389,3.6,2,-41.359345,0.005474
12,12,1.810087;2.830389,3.7,2,-41.347105,0.012240
12,12,1.810087;2.830389,3.8,2,-41.338325,0.008780
12,12,1.810087;2.830389,3.9,2,-41.333053,0.005272
12,12,1.810087;2.830389,4.0,2,-41.327747,0.005306
